"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-06-21","62","71","54"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-06-22","63","75","55"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-06-23","61","68","53"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-06-24","58","69","52"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-06-25","61","72","56"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-06-26","65","80","56"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-06-27","71","85","58"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-06-28","65","76","54"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-06-29","63","72","55"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-06-30","62","73","55"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-07-01","63","75","55"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-07-02","67","75","57"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-07-03","62","71","56"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-07-04","62","69","56"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-07-05","60","67","55"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-07-06","62","76","56"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-07-07","65","68","58"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-07-08","62","72","58"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-07-09","62","71","56"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-07-10","63","73","56"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-07-11","63","73","57"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-07-12","65","76","59"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-07-13","65","74","57"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-07-14","66","76","57"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-07-15","65","76","56"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-07-16","64","73","57"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-07-17","66","79","58"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-07-18","65","71","60"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-07-19","66","77","60"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-07-20","68","80","60"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-07-21","70","84","58"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-07-22","67","73","59"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-07-23","63","73","58"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-07-24","67","81","58"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-07-25","72","86","59"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-07-26","67","78","59"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-07-27","68","84","56"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-07-28","74","88","61"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-07-29","76","89","62"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-07-30","69","75","57"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-07-31","63","72","56"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-08-01","61","77","53"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-08-02","63","71","57"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-08-03","63","76","58"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-08-04","68","82","56"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-08-05","68","79","57"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-08-06","62","71","54"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-08-07","62","69","57"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-08-08","61","73","56"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-08-09","63","71","58"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-08-10","64","76","58"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-08-11","69","81","58"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-08-12","74","90","63"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-08-13","77","91","64"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-08-14","73","85","57"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-08-15","71","83","57"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-08-16","67","83","56"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-08-17","69","80","56"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-08-18","73","87","60"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-08-19","81","95","69"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-08-20","78","91","62"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-08-21","69","73","57"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-08-22","62","72","55"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-08-23","66","80","54"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-08-24","71","85","58"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-08-25","76","91","61"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-08-26","77","92","64"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-08-27","72","73","58"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-08-28","62","70","55"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-08-29","62","79","53"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-08-30","64","71","56"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-08-31","63","69","58"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-09-01","62","66","56"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-09-02","60","69","55"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-09-03","60","69","54"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","2016-09-04","59","70","51"
